candidate_subtopic_id,name,mapped_knowledge_node_id,priority,chunk_count,question_count,task_reference_count,decision,reviewer,reviewed_at
EXT-RAG-rag_definition,RAG基本定义,RAG-M01-N01,P0,4,3,1,pending,,
EXT-RAG-rag_end_to_end_architecture,RAG端到端架构,RAG-M01-N02,P0,4,3,1,pending,,
EXT-RAG-parametric_nonparametric_memory,参数记忆与外部记忆,RAG-M01-N01,P1,4,3,0,pending,,
EXT-RAG-rag_applicability,RAG适用性判断,RAG-M01-N04,P1,4,3,0,pending,,
EXT-RAG-rag_failure_taxonomy,RAG失败类型,RAG-M01-N02,P0,4,3,0,pending,,
EXT-RAG-knowledge_source_selection,知识源选择,RAG-M02-N01,P0,4,3,1,pending,,
EXT-RAG-source_authority_provenance,来源权威性与溯源,RAG-M02-N01,P0,4,3,1,pending,,
EXT-RAG-versioning_freshness,版本与时效治理,RAG-M02-N04,P0,4,3,1,pending,,
EXT-RAG-licensing_compliance,许可与合规,RAG-M02-N01,P1,4,3,1,pending,,
EXT-RAG-access_control_tenant_isolation,权限过滤与多租户隔离,RAG-M04-N02,P0,4,3,1,pending,,
EXT-RAG-document_parsing,文档解析,RAG-M02-N02,P0,4,3,1,pending,,
EXT-RAG-layout_table_extraction,版面与表格提取,RAG-M02-N02,P1,4,3,1,pending,,
EXT-RAG-text_cleaning_normalization,文本清洗与规范化,RAG-M02-N02,P0,4,3,1,pending,,
EXT-RAG-deduplication,内容去重,RAG-M02-N02,P1,4,3,0,pending,,
EXT-RAG-document_quality_checks,文档质量门禁,RAG-M02-N04,P0,4,3,1,pending,,
EXT-RAG-chunking_objectives,文档切分目标,RAG-M02-N03,P0,4,3,1,pending,,
EXT-RAG-fixed_window_chunking,固定窗口切分,RAG-M02-N03,P1,4,3,1,pending,,
EXT-RAG-structure_aware_chunking,结构感知切分,RAG-M02-N03,P0,4,3,1,pending,,
EXT-RAG-semantic_chunking,语义切分,RAG-M02-N03,P2,4,3,0,pending,,
