question_id,knowledge_node_id,question_type,difficulty_level,stem,options,answer,explanation,evidence_ids
9ad3d8eb-9df9-52f2-b51a-ce6cc22ea1c3,RAG-M01-N01,single_choice,1,关于“RAG的定义、目标与边界”，以下哪项表述最准确？,"[{""option_id"": ""A"", ""option_text"": ""RAG会把上传文档训练进模型参数。""}, {""option_id"": ""B"", ""option_text"": ""RAG把检索器与生成模型组合起来：检索器从显式知识源中返回与任务相关的证据，生成模型再依据任务指令与证据组织输出。知识主要保存在可更新的外部存储中，而不是全部依赖模型参数记忆。""}, {""option_id"": ""C"", ""option_text"": ""RAG的定义、目标与边界不需要任何评测或版本记录。""}, {""option_id"": ""D"", ""option_text"": ""RAG的定义、目标与边界只适用于演示环境，无法用于工程系统。""}]",,RAG把检索器与生成模型组合起来：检索器从显式知识源中返回与任务相关的证据，生成模型再依据任务指令与证据组织输出。知识主要保存在可更新的外部存储中，而不是全部依赖模型参数记忆。,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34""]"
b50ae04c-402c-5c8f-b4d1-0c208af1fffd,RAG-M01-N01,true_false,1,RAG会把上传文档训练进模型参数。,"[{""option_id"": ""T"", ""option_text"": ""正确""}, {""option_id"": ""F"", ""option_text"": ""错误""}]",,标准RAG通常在推理阶段检索外部索引，不要求修改基础模型参数。,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711""]"
529607c2-6969-5725-aef9-853c0e1f57af,RAG-M01-N01,short_answer,2,请用不超过200字说明RAG的定义、目标与边界的核心目标、一个适用边界和一个质量验证方法。,[],,答案必须同时包含目标、边界和可验证方法，不能只复述名词。,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711"", ""6651205b-2e94-5f91-a6db-34d0af08c3e0""]"
3564cdfe-1447-5c14-88b9-c37dccd817b8,RAG-M01-N01,short_answer,2,在企业RAG项目中需要应用“RAG的定义、目标与边界”。请给出实施步骤、失败风险和验收证据。,[],,按照知识点目标和边界给出可落地方案。,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711"", ""6651205b-2e94-5f91-a6db-34d0af08c3e0"", ""f27b31af-a9cf-5abc-bd1b-a61c4a459ff3""]"
2e0fd2d1-c74b-58d6-b20d-2657aaa16182,RAG-M01-N02,single_choice,1,关于“RAG端到端流水线与责任分层”，以下哪项表述最准确？,"[{""option_id"": ""A"", ""option_text"": ""RAG流水线就是“embedding后top-k再问模型”。""}, {""option_id"": ""B"", ""option_text"": ""离线阶段负责资料登记、解析、清洗、切片、元数据补全、嵌入或关键词索引、图关系构建、质量评测和版本发布。只有通过门禁的知识库版本才允许被在线工作流使用。""}, {""option_id"": ""C"", ""option_text"": ""RAG端到端流水线与责任分层不需要任何评测或版本记录。""}, {""option_id"": ""D"", ""option_text"": ""RAG端到端流水线与责任分层只适用于演示环境，无法用于工程系统。""}]",,离线阶段负责资料登记、解析、清洗、切片、元数据补全、嵌入或关键词索引、图关系构建、质量评测和版本发布。只有通过门禁的知识库版本才允许被在线工作流使用。,"[""e03a7e60-d324-5f5e-834f-7381739e0810""]"
177eb494-17cc-534b-83e7-c97892c37937,RAG-M01-N02,true_false,1,RAG流水线就是“embedding后top-k再问模型”。,"[{""option_id"": ""T"", ""option_text"": ""正确""}, {""option_id"": ""F"", ""option_text"": ""错误""}]",,这是最小原型；生产链路还需要数据治理、过滤、融合、重排、引用、评测和版本管理。,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b""]"
fa229a6b-5a33-554e-8e34-2312f6a4bacb,RAG-M01-N02,short_answer,2,请用不超过200字说明RAG端到端流水线与责任分层的核心目标、一个适用边界和一个质量验证方法。,[],,答案必须同时包含目标、边界和可验证方法，不能只复述名词。,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b"", ""4f80f1b6-c99f-5f35-8eac-065eadf712ad""]"
8e8274be-683b-5942-a054-1c73ba67d52b,RAG-M01-N02,short_answer,2,在企业RAG项目中需要应用“RAG端到端流水线与责任分层”。请给出实施步骤、失败风险和验收证据。,[],,按照知识点目标和边界给出可落地方案。,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b"", ""4f80f1b6-c99f-5f35-8eac-065eadf712ad"", ""0cbdabc0-1c7f-5315-b264-d7240cc87b5d""]"
900afc0e-62a5-51b2-bc05-e2648563c19f,RAG-M01-N03,single_choice,2,关于“RAG、微调、长上下文与工具调用的选择”，以下哪项表述最准确？,"[{""option_id"": ""A"", ""option_text"": ""微调以后就不需要知识库。""}, {""option_id"": ""B"", ""option_text"": ""当知识频繁更新、来源必须可追溯、不同租户拥有不同资料或需要权限过滤时，RAG通常优于把事实写入模型参数。知识版本可以独立发布和回滚。""}, {""option_id"": ""C"", ""option_text"": ""RAG、微调、长上下文与工具调用的选择不需要任何评测或版本记录。""}, {""option_id"": ""D"", ""option_text"": ""RAG、微调、长上下文与工具调用的选择只适用于演示环境，无法用于工程系统。""}]",,当知识频繁更新、来源必须可追溯、不同租户拥有不同资料或需要权限过滤时，RAG通常优于把事实写入模型参数。知识版本可以独立发布和回滚。,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af""]"
3955e800-f2a0-5a0c-8be8-c084c2e0b0a6,RAG-M01-N03,true_false,2,微调以后就不需要知识库。,"[{""option_id"": ""T"", ""option_text"": ""正确""}, {""option_id"": ""F"", ""option_text"": ""错误""}]",,行为适配和事实检索解决不同问题，常见生产方案会组合使用。,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0""]"
be009074-de3f-5998-baf3-c6e3a66b74b1,RAG-M01-N03,short_answer,3,请用不超过200字说明RAG、微调、长上下文与工具调用的选择的核心目标、一个适用边界和一个质量验证方法。,[],,答案必须同时包含目标、边界和可验证方法，不能只复述名词。,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0"", ""bdafa642-49da-5f6f-897b-a1302eae874a""]"
