id,module_id,name,summary,difficulty,core,importance,aliases,prerequisites,objectives,misconceptions,boundaries
RAG-M01-N01,RAG-M01,RAG的定义、目标与边界,RAG是在生成前检索外部知识，并让生成模型在证据约束下完成回答或资源生成的系统方法。它的价值是知识可更新、证据可追踪和任务上下文可控，而不是保证模型永不出错。,1,True,1.0,"[""检索增强生成"", ""Retrieval-Augmented Generation"", ""RAG基础""]",[],"[""解释RAG中参数化记忆与外部非参数化记忆的分工"", ""识别RAG适合解决的问题与不能自动解决的问题"", ""说明检索证据、生成答案和来源引用之间的关系""]","[{""wrong"": ""RAG会把上传文档训练进模型参数。"", ""correction"": ""标准RAG通常在推理阶段检索外部索引，不要求修改基础模型参数。""}, {""wrong"": ""只要接入向量数据库就不会幻觉。"", ""correction"": ""向量库只解决候选证据检索的一部分，仍需证据校验、上下文组织、生成约束和输出审核。""}]","[""不把RAG等同于模型微调"", ""不承诺绝对零幻觉"", ""知识库外问题应拒答或转人工""]"
RAG-M01-N02,RAG-M01,RAG端到端流水线与责任分层,生产级RAG不是一次模型调用，而是离线知识工程与在线查询链路共同组成的系统。每个阶段都必须有版本、日志和可独立评测的契约。,1,True,1.0,"[""RAG pipeline"", ""检索生成流程"", ""RAG系统链路""]","[""RAG-M01-N01""]","[""画出数据接入、索引、检索、上下文构建、生成、审核和反馈链路"", ""区分离线知识构建与在线查询"", ""为每个阶段指定输入输出和质量指标""]","[{""wrong"": ""RAG流水线就是“embedding后top-k再问模型”。"", ""correction"": ""这是最小原型；生产链路还需要数据治理、过滤、融合、重排、引用、评测和版本管理。""}, {""wrong"": ""所有阶段由一个Agent完成更简单。"", ""correction"": ""职责分离能形成独立契约、单体评测和错误归因，也是多智能体协同的基础。""}]","[""在线流程不得使用未发布知识版本"", ""关键状态必须可回放"", ""每个环节必须有失败和降级路径""]"
RAG-M01-N03,RAG-M01,RAG、微调、长上下文与工具调用的选择,RAG适合外部知识注入和来源追溯，微调更适合稳定行为模式，长上下文适合一次性材料，工具调用适合执行可验证操作。架构选择应由问题特征而不是技术热度决定。,2,True,0.95,"[""RAG与微调"", ""RAG vs Fine-tuning"", ""长上下文方案选择""]","[""RAG-M01-N01""]","[""根据知识变化、行为风格和工具执行需求选择方案"", ""理解多种方法可以组合而非互斥"", ""避免用微调承担高频事实更新""]","[{""wrong"": ""微调以后就不需要知识库。"", ""correction"": ""行为适配和事实检索解决不同问题，常见生产方案会组合使用。""}, {""wrong"": ""上下文窗口足够大就可以永远不检索。"", ""correction"": ""长上下文仍有成本、权限、版本、噪声和信息位置敏感等问题。""}]","[""方案选择必须记录业务前提"", ""实时数据优先使用工具查询"", ""高频更新事实不得只依赖微调记忆""]"
RAG-M01-N04,RAG-M01,需求分析、成功指标与RAG架构决策,RAG项目应从用户任务、答案证据和失败代价出发。没有固定评测集和门禁，系统无法证明改动有效，也无法决定何时使用普通混合检索、层级检索、图检索或结构化查询。,2,True,0.95,"[""RAG需求分析"", ""RAG技术选型"", ""成功标准""]","[""RAG-M01-N02"", ""RAG-M01-N03""]","[""把模糊需求转化为可评测问题集"", ""定义准确性、时延、成本、安全和可维护性指标"", ""根据知识形态选择检索与索引策略""]","[{""wrong"": ""先把系统做出来，再找一些问题测试。"", ""correction"": ""评测集应在核心实现前冻结，否则容易只测试系统擅长的问题。""}, {""wrong"": ""一个准确率就能代表RAG质量。"", ""correction"": ""检索、生成、系统和业务价值必须分层度量。""}]","[""每项指标必须给出计算口径"", ""评测集需版本化并防止泄漏"", ""架构选择必须能回溯到知识形态和问题类型""]"
RAG-M02-N01,RAG-M02,知识源治理、可信等级与准入,知识库质量首先取决于来源，而不是向量模型。每份资料都应有来源、所有者、适用范围、版本、授权状态和失效条件，模型生成的内容不能自动升级为权威事实。,1,True,1.0,"[""source governance"", ""知识来源管理"", ""资料准入""]","[""RAG-M01-N04""]","[""建立来源登记、授权和可信等级制度"", ""区分原始来源、派生内容和模型生成内容"", ""定义冲突、过期和撤回处理流程""]","[{""wrong"": ""公开网页都可以直接作为权威知识。"", ""correction"": ""公开可访问不等于准确、授权清晰或适用于当前场景。""}, {""wrong"": ""模型总结后的内容可以替代原始来源。"", ""correction"": ""总结是派生内容，必须保留引用并接受独立审核。""}]","[""未授权敏感资料不得入库"", ""模型生成草稿不得自动发布"", ""过期来源必须支持撤回与影响分析""]"
RAG-M02-N02,RAG-M02,文档解析、清洗与结构保真,解析阶段必须尽可能保留标题层级、列表、表格、代码块和页码等结构。错误解析会污染后续所有切片和检索，不能靠更强模型自动弥补。,2,True,0.95,"[""document parsing"", ""文档清洗"", ""版面解析""]","[""RAG-M02-N01""]","[""区分文本提取、OCR和版面结构解析"", ""处理页眉页脚、断行、表格、代码和扫描件"", ""建立解析质量门禁""]","[{""wrong"": ""所有PDF都可以直接提取文本。"", ""correction"": ""扫描PDF可能没有文本层，复杂版面也可能发生阅读顺序错误。""}, {""wrong"": ""解析只要看起来有文字就算成功。"", ""correction"": ""标题、表格、代码和页码错位会直接破坏知识单元与引用。""}]","[""保留原始文件和解析版本"", ""关键资料解析失败必须阻断发布"", ""OCR结果需标记置信度与人工复核状态""]"
RAG-M02-N03,RAG-M02,切片策略、语义边界与父子结构,切片不是简单按固定字符截断，而是把资料转化为可独立检索、又保留必要上下文的证据单元。最佳策略需要用真实问题集评测，不能只凭经验设置长度。,2,True,1.0,"[""chunking"", ""文档切片"", ""parent-child chunks""]","[""RAG-M02-N02""]","[""根据内容类型选择固定、递归、语义、层级或代码切片"", ""理解chunk size与overlap的召回和噪声权衡"", ""设计父子节点与前后关系""]","[{""wrong"": ""chunk size越大，模型得到的信息越多，所以越好。"", ""correction"": ""过大切片会降低定位精度、增加噪声和上下文成本。""}, {""wrong"": ""overlap越大越保险。"", ""correction"": ""过度重叠会造成重复召回、引用冗余和索引成本上升。""}]","[""切片必须保留来源位置"", ""参数变更要创建新索引版本"", ""不得把表头、否定条件与正文分离""]"
RAG-M02-N04,RAG-M02,元数据、版本、血缘与知识发布,元数据是知识库治理与检索控制面。一个可发布的知识版本应固定文档、切片、索引、嵌入模型、图结构、评测结果和审批记录，不能在运行中悄然变化。,3,True,1.0,"[""metadata"", ""knowledge versioning"", ""provenance""]","[""RAG-M02-N01"", ""RAG-M02-N03""]","[""设计检索、权限、引用和回滚所需元数据"", ""实现不可变知识版本和激活指针"", ""追踪原始资料到最终证据的血缘""]","[{""wrong"": ""metadata只是方便展示，可以后补。"", ""correction"": ""权限过滤、版本回放、引用和评测都依赖元数据，必须在接入时建立。""}, {""wrong"": ""修改数据库里的旧切片比新建版本简单。"", ""correction"": ""原地修改会破坏历史运行可复现性和审计链。""}]","[""发布版本不可原地修改"", ""所有引用必须可追溯"", ""权限标签必须在检索前过滤而非生成后遮盖""]"
RAG-M03-N01,RAG-M03,文本嵌入、向量表示与相似度,文本嵌入把查询和知识片段映射到向量空间，使语义相近内容可以通过距离或相似度检索。模型语言、领域、维度和归一化方式必须与索引及评测保持一致。,2,True,1.0,"[""embedding"", ""sentence embedding"", ""语义向量""]","[""RAG-M02-N03""]","[""解释嵌入向量用于表示语义相似性的基本机制"", ""区分余弦相似度、内积和欧氏距离"", ""设计嵌入模型选型与离线评测""]","[{""wrong"": ""语义相关就一定事实相关。"", ""correction"": ""嵌入召回的是相似表达，仍可能缺少适用条件、版本或具体事实。""}, {""wrong"": ""所有模型输出都可以使用同一种距离函数。"", ""correction"": ""必须按模型训练方式、归一化和索引配置确定距离函数。""}]","[""嵌入模型和预处理必须记录版本"", ""专有编号和精确术语需结合关键词检索"", ""模型更换必须重建索引""]"
RAG-M03-N02,RAG-M03,向量存储、精确搜索、HNSW与IVFFlat,向量存储负责保存嵌入和执行最近邻搜索。精确搜索提供基准召回；HNSW通常有较好的速度-召回权衡但构建和内存成本较高；IVFFlat构建更轻但需要训练和调参。,3,True,0.95,"[""vector database"", ""pgvector"", ""HNSW"", ""IVFFlat""]","[""RAG-M03-N01"", ""RAG-M02-N04""]","[""在PostgreSQL/pgvector中存储和查询向量"", ""理解精确检索与近似检索的权衡"", ""根据数据量、更新频率和过滤条件选择索引""]","[{""wrong"": ""上了HNSW以后结果和精确搜索完全相同。"", ""correction"": ""HNSW属于近似搜索，需要用精确基线监测召回损失。""}, {""wrong"": ""IVFFlat创建后不需要调参。"", ""correction"": ""lists、probes、数据规模和数据分布都会影响质量与延迟。""}]","[""上线前必须有精确检索基线"", ""租户和权限过滤不可省略"", ""索引参数变更必须进入版本记录""]"
