external_node_id,external_node_name,mapped_knowledge_node_id,mapped_knowledge_node_name,mapping_type,review_status
rag_definition,RAG基本定义,RAG-M01-N01,RAG的定义、目标与边界,candidate_subtopic_of,pending_expert_review
rag_end_to_end_architecture,RAG端到端架构,RAG-M01-N02,RAG端到端流水线与责任分层,candidate_subtopic_of,pending_expert_review
parametric_nonparametric_memory,参数记忆与外部记忆,RAG-M01-N01,RAG的定义、目标与边界,candidate_subtopic_of,pending_expert_review
rag_applicability,RAG适用性判断,RAG-M01-N04,需求分析、成功指标与RAG架构决策,candidate_subtopic_of,pending_expert_review
rag_failure_taxonomy,RAG失败类型,RAG-M01-N02,RAG端到端流水线与责任分层,candidate_subtopic_of,pending_expert_review
knowledge_source_selection,知识源选择,RAG-M02-N01,知识源治理、可信等级与准入,candidate_subtopic_of,pending_expert_review
source_authority_provenance,来源权威性与溯源,RAG-M02-N01,知识源治理、可信等级与准入,candidate_subtopic_of,pending_expert_review
versioning_freshness,版本与时效治理,RAG-M02-N04,元数据、版本、血缘与知识发布,candidate_subtopic_of,pending_expert_review
licensing_compliance,许可与合规,RAG-M02-N01,知识源治理、可信等级与准入,candidate_subtopic_of,pending_expert_review
access_control_tenant_isolation,权限过滤与多租户隔离,RAG-M04-N02,元数据过滤、租户隔离与权限检索,candidate_subtopic_of,pending_expert_review
document_parsing,文档解析,RAG-M02-N02,文档解析、清洗与结构保真,candidate_subtopic_of,pending_expert_review
layout_table_extraction,版面与表格提取,RAG-M02-N02,文档解析、清洗与结构保真,candidate_subtopic_of,pending_expert_review
text_cleaning_normalization,文本清洗与规范化,RAG-M02-N02,文档解析、清洗与结构保真,candidate_subtopic_of,pending_expert_review
deduplication,内容去重,RAG-M02-N02,文档解析、清洗与结构保真,candidate_subtopic_of,pending_expert_review
document_quality_checks,文档质量门禁,RAG-M02-N04,元数据、版本、血缘与知识发布,candidate_subtopic_of,pending_expert_review
chunking_objectives,文档切分目标,RAG-M02-N03,切片策略、语义边界与父子结构,candidate_subtopic_of,pending_expert_review
fixed_window_chunking,固定窗口切分,RAG-M02-N03,切片策略、语义边界与父子结构,candidate_subtopic_of,pending_expert_review
structure_aware_chunking,结构感知切分,RAG-M02-N03,切片策略、语义边界与父子结构,candidate_subtopic_of,pending_expert_review
semantic_chunking,语义切分,RAG-M02-N03,切片策略、语义边界与父子结构,candidate_subtopic_of,pending_expert_review
parent_child_multigranular,父子与多粒度检索,RAG-M07-N01,父子检索、层级检索与长文档问答,candidate_subtopic_of,pending_expert_review
metadata_schema,元数据Schema设计,RAG-M02-N04,元数据、版本、血缘与知识发布,candidate_subtopic_of,pending_expert_review
