task_id,knowledge_node_id,title,scenario,instructions,deliverables,difficulty_level,estimated_minutes,rubric_id,evidence_ids
9bba7542-5f27-5cba-9e9c-48714e556316,RAG-M01-N01,为一个内部技术手册场景判断是否应使用RAG,,,,2,60,13d36b84-10e9-59d9-9b38-0c3bc570b8d5,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711"", ""6651205b-2e94-5f91-a6db-34d0af08c3e0"", ""f27b31af-a9cf-5abc-bd1b-a61c4a459ff3""]"
d7e8bd2f-11c5-585b-b661-4301c6a24db1,RAG-M01-N02,绘制可审计RAG端到端时序图,,,,2,60,ced4a4e2-2b0e-5a66-8c90-cc0034a6332d,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b"", ""4f80f1b6-c99f-5f35-8eac-065eadf712ad"", ""0cbdabc0-1c7f-5315-b264-d7240cc87b5d""]"
a7a91b01-df7a-5145-9155-369f331a2c13,RAG-M01-N03,完成四种知识增强方式的架构选型,,,,3,60,f3f7ac97-3fa9-5f3d-a854-cad573b3c819,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0"", ""bdafa642-49da-5f6f-897b-a1302eae874a"", ""135c2547-e958-5725-b386-ba992f9a2714""]"
3639eff6-9c3c-5b30-9db7-30fa19dc3bcf,RAG-M01-N04,编写RAG项目的可验收需求规格,,,,3,75,15acb52e-4a1a-51c8-9de3-fb13b3a3e25a,"[""3ed623c7-fb38-5e39-bc64-befbff600e5a"", ""f48d4afb-0300-5ea2-a1e3-aad1427e3a34"", ""0a53a5bd-4026-5071-82ac-2b8e27cba817"", ""3d5cd78b-15d8-54f0-b2b4-db02eb10b962""]"
f00a97f6-de5b-51f0-9c38-9f06f256ba6a,RAG-M02-N01,为十份混合来源资料建立准入清单,,,,2,60,da70060d-a40a-5046-b484-c39a6b6de6f1,"[""3e812057-6f3c-58b4-879c-b84b70205ca3"", ""7e8f9330-fd2c-5cf2-aee7-1101bd092085"", ""33ddfbdd-4719-5f27-bf5d-b22f52551dcf"", ""19a5d2af-6eb3-5673-b2cb-087fac1fa0be""]"
801b13b3-e8ea-565a-b850-f5b56905ed17,RAG-M02-N02,设计多格式文档解析验收方案,,,,3,75,0b0a85c6-1a99-5454-a1d0-268ae174d3e4,"[""507145bd-82bf-57de-ba2c-02e7c516d149"", ""459f4320-ffba-555d-9b05-e679be68ff95"", ""44da0ddb-5f54-55a7-a6d2-dd3665dbd829"", ""d3ec5725-8e5f-57b6-aec7-c0f45172e0bb""]"
e290d853-78e5-5561-9e07-4ba78f810340,RAG-M02-N03,完成三种切片策略消融实验,,,,3,90,57e52e33-b731-59b4-a786-482bd3530994,"[""afb69292-46aa-55c7-b4b5-5b895d9d4513"", ""42e17c0b-2db3-52ac-b398-eca5dc702b4f"", ""f4b2772e-9f5f-5419-9b2b-cd8a22ef39de"", ""8ccfef39-f6ff-5035-a27f-e0413f934758""]"
e6135b3a-f331-502f-837f-e1e38b1fd00c,RAG-M02-N04,设计Domain Pack发布与回滚流程,,,,4,75,334e5a69-08be-5727-be54-1e6f385e4297,"[""110a39ee-0b6b-56b0-9c4f-626fbb785b1a"", ""de2d06e7-6962-5ce2-b3f9-b8d983be22b8"", ""8682abe8-16eb-58ff-8869-c1fa1c56290c"", ""4cb0290e-cbda-526c-b420-5e1044866f55""]"
58f59f97-121d-5420-81ba-647da406b982,RAG-M03-N01,完成三种嵌入方案的领域检索评测,,,,3,75,d2ce9010-81d1-5bef-8561-43d896b3d729,"[""d2603583-8af0-5455-9b44-3d5e989c94c1"", ""32df7ce1-8afb-5cfb-9b25-91de8fed3532"", ""9b9b3e6f-796b-5b9e-b2ac-7dd455c1f2f0"", ""2e9c8abd-4f76-5113-9886-e0d3edd77542""]"
b05ec7d9-0a50-52e9-84c2-d83777812532,RAG-M03-N02,为10万条知识切片设计pgvector索引方案,,,,4,90,3e8c3310-e837-5abd-8ad9-661ee23027de,"[""0db4adce-4113-5ed8-844f-89563f132422"", ""5e8ced64-0f8f-5a42-906f-fa6ec450dc0f"", ""383e3b96-5fe2-5637-975e-836e1a294892"", ""881618b9-0202-5397-b16b-fb002bf8a858""]"
