question_id,knowledge_node_id,question_type,difficulty_level,stem,correct_answer,score_points,evidence_ids,provenance
9ad3d8eb-9df9-52f2-b51a-ce6cc22ea1c3,RAG-M01-N01,single_choice,1,关于“RAG的定义、目标与边界”，以下哪项表述最准确？,B,10,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34""]",
b50ae04c-402c-5c8f-b4d1-0c208af1fffd,RAG-M01-N01,true_false,1,RAG会把上传文档训练进模型参数。,F,10,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711""]",
529607c2-6969-5725-aef9-853c0e1f57af,RAG-M01-N01,short_answer,2,请用不超过200字说明RAG的定义、目标与边界的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""RAG是在生成前检索外部知识，并让生成模型在证据约束下完成回答或资源生成的系统方法。它的价值是知识可更新、证据可追踪和任务上下文可控，而不是保证模型永不出错。"", ""不把RAG等同于模型微调"", ""解释RAG中参数化记忆与外部非参数化记忆的分工""]}",20,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711"", ""6651205b-2e94-5f91-a6db-34d0af08c3e0""]",
3564cdfe-1447-5c14-88b9-c37dccd817b8,RAG-M01-N01,short_answer,2,在企业RAG项目中需要应用“RAG的定义、目标与边界”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""解释RAG中参数化记忆与外部非参数化记忆的分工"", ""识别RAG适合解决的问题与不能自动解决的问题"", ""说明检索证据、生成答案和来源引用之间的关系"", ""不把RAG等同于模型微调""]}",30,"[""30aa7214-53ca-50c1-ba4d-3a8dc49a2e34"", ""c170ae95-9b55-5e85-9857-46a84b4e7711"", ""6651205b-2e94-5f91-a6db-34d0af08c3e0"", ""f27b31af-a9cf-5abc-bd1b-a61c4a459ff3""]",
2e0fd2d1-c74b-58d6-b20d-2657aaa16182,RAG-M01-N02,single_choice,1,关于“RAG端到端流水线与责任分层”，以下哪项表述最准确？,B,10,"[""e03a7e60-d324-5f5e-834f-7381739e0810""]",
177eb494-17cc-534b-83e7-c97892c37937,RAG-M01-N02,true_false,1,RAG流水线就是“embedding后top-k再问模型”。,F,10,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b""]",
fa229a6b-5a33-554e-8e34-2312f6a4bacb,RAG-M01-N02,short_answer,2,请用不超过200字说明RAG端到端流水线与责任分层的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""生产级RAG不是一次模型调用，而是离线知识工程与在线查询链路共同组成的系统。每个阶段都必须有版本、日志和可独立评测的契约。"", ""在线流程不得使用未发布知识版本"", ""画出数据接入、索引、检索、上下文构建、生成、审核和反馈链路""]}",20,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b"", ""4f80f1b6-c99f-5f35-8eac-065eadf712ad""]",
8e8274be-683b-5942-a054-1c73ba67d52b,RAG-M01-N02,short_answer,2,在企业RAG项目中需要应用“RAG端到端流水线与责任分层”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""画出数据接入、索引、检索、上下文构建、生成、审核和反馈链路"", ""区分离线知识构建与在线查询"", ""为每个阶段指定输入输出和质量指标"", ""在线流程不得使用未发布知识版本""]}",30,"[""e03a7e60-d324-5f5e-834f-7381739e0810"", ""01c56b02-c15f-576b-9b9d-68c47d67916b"", ""4f80f1b6-c99f-5f35-8eac-065eadf712ad"", ""0cbdabc0-1c7f-5315-b264-d7240cc87b5d""]",
900afc0e-62a5-51b2-bc05-e2648563c19f,RAG-M01-N03,single_choice,2,关于“RAG、微调、长上下文与工具调用的选择”，以下哪项表述最准确？,B,10,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af""]",
3955e800-f2a0-5a0c-8be8-c084c2e0b0a6,RAG-M01-N03,true_false,2,微调以后就不需要知识库。,F,10,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0""]",
be009074-de3f-5998-baf3-c6e3a66b74b1,RAG-M01-N03,short_answer,3,请用不超过200字说明RAG、微调、长上下文与工具调用的选择的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""RAG适合外部知识注入和来源追溯，微调更适合稳定行为模式，长上下文适合一次性材料，工具调用适合执行可验证操作。架构选择应由问题特征而不是技术热度决定。"", ""方案选择必须记录业务前提"", ""根据知识变化、行为风格和工具执行需求选择方案""]}",20,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0"", ""bdafa642-49da-5f6f-897b-a1302eae874a""]",
